Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
741,299600452771670016,146.00114,1.2461454,GALAXY,,11.64001,2.702405,1.72997,4.47121,-0.6189364,-0.1961543
742,299600453241432064,146.00114,1.2461454,GALAXY,,34.74698,9.504497,8.494142,-28.0243,-9.478426,2.113266
743,299600727649576960,146.06725,1.1094246,GALAXY,,19.52184,0.9578854,9.824777,-9.034779,17.32344,4.545297
744,299600728119339008,146.05906,1.0485111,QSO,BROADLINE,0,272.7711,136.8835,0,0,0
745,299601002527483904,146.02566,1.0713275,GALAXY,,0,-0.4414304,0.9163564,0,0,10.60039
746,299601002997245952,145.9506,1.0651305,GALAXY,,11.92738,7.173747,5.00471,11.10045,0.3851474,0.364838
747,299601277405390848,145.87385,0.94870332,STAR,M4,43.19378,3.447793,-0.3683224,5.534855,5.550521,-3.702468
748,299601277875152896,145.89128,1.1165244,GALAXY,STARBURST,3601.152,998.5123,2524.677,441.258,307.0977,74.35032
749,299601552283297792,145.88615,1.1964676,GALAXY,STARFORMING,167.7805,34.4959,18.03933,84.28458,18.23811,10.28551
750,299601552753059840,145.9373,1.1418559,GALAXY,,25.96159,8.066994,11.83508,20.2083,4.059365,4.972737
751,299601827161204736,145.96966,0.83091776,GALAXY,,4.226601,6.488245,11.62119,12.05609,-4.219917,5.183028
752,299601827630966784,145.87385,0.94870332,STAR,M4,16.49679,7.815984,1.563396,13.87862,-11.05297,5.143784
753,299602102039111680,145.9373,1.1418559,GALAXY,,35.76172,13.71301,7.058358,30.33285,8.639719,2.203492
754,299602102508873728,145.88615,1.1964676,GALAXY,,163.3555,32.48492,7.564551,89.41029,19.57387,2.352335
755,299602376917018624,145.87188,0.87375974,GALAXY,,24.06119,6.905391,36.79792,44.15765,22.37941,16.48787
756,299602377386780672,146.01513,0.8235057,GALAXY,AGN,102.78,20.05196,35.29883,74.64108,28.2061,9.204659
757,299602651794925568,146.01225,0.76563817,GALAXY,STARBURST,691.8965,223.9568,192.3632,147.6194,71.84902,10.8408
758,299602652264687616,145.96966,0.83091776,GALAXY,,3.752143,7.037226,1.013874,6.617826,-7.497029,-0.4601218
759,299602926672832512,145.98157,0.95657553,QSO,,0,0,0,0,0,0
760,299602927142594560,146.01225,0.76563817,GALAXY,STARBURST,725.4607,214.1368,197.4061,161.5144,72.2782,9.143567
761,299603201550739456,146.08224,1.0348001,GALAXY,,90.14246,21.06463,7.744016,57.38767,12.5212,3.593071
762,299603202020501504,146.02566,1.0713275,GALAXY,,0,-3.137164,-3.964453,0,0,-1.50882
763,299603476428646400,146.04623,0.76611923,GALAXY,,35.37207,9.56004,0.9423525,7.058778,5.197702,-1.039767
764,299603476898408448,146.04623,0.76611923,GALAXY,,15.46783,3.500082,-0.03434011,8.500541,3.64655,0.1842147
765,299603751306553344,145.99263,0.78807767,GALAXY,STARFORMING,989.9269,211.8941,105.9989,376.5086,81.65948,13.48052
766,299603751776315392,145.87525,0.91247639,GALAXY,,16.18747,-1.712438,6.490252,37.54305,3.921211,0.2612451
767,299604026184460288,146.05906,1.0485111,QSO,BROADLINE,0,262.7217,131.1621,0,0,0
768,299604026654222336,146.08224,1.0348001,GALAXY,STARFORMING,85.25614,24.45117,10.23484,51.76315,9.556328,3.879109
769,299604301062367232,145.89356,1.0284222,GALAXY,STARFORMING,264.6972,64.40752,19.75804,83.51193,34.98269,9.376
770,299604301532129280,145.87188,0.87375974,GALAXY,AGN,26.30256,8.741755,29.95322,50.05048,8.552696,13.56121
771,299604575940274176,145.9506,1.0651305,GALAXY,,14.19097,-0.7878528,2.768108,8.577909,1.011796,-4.065028
772,299604576410036224,145.98157,0.95657553,STAR,T2,0,0,0,0,0,0
773,299604850818181120,145.88081,1.0470699,GALAXY,,0,6.56121,-5.298496,0,0,-16.16186
774,299604851287943168,145.89356,1.0284222,GALAXY,STARFORMING,267.5282,61.06378,21.92434,86.58644,37.57005,5.910673
775,299605125696088064,145.74324,0.46346691,GALAXY,,5.313396,1.153965,5.025119,16.97497,2.444012,-0.4335899
776,299605126165850112,145.79884,0.6504951,GALAXY,,9.407056,6.191539,13.71255,12.23062,-2.045925,10.00755
777,299605400573995008,145.8475,0.67573036,GALAXY,,57.89331,15.28071,55.17836,47.925,13.12788,5.305334
778,299605401043757056,145.8475,0.67573036,GALAXY,,50.1729,12.10792,57.39756,38.07753,22.73436,5.373271
779,299605675451901952,145.64564,0.50959376,GALAXY,,48.75008,9.46492,-2.236825,13.60291,8.271506,89.25642
780,299605675921664000,145.72685,0.49792299,GALAXY,,0,0,0,0,0,0
781,299605950329808896,145.6607,0.6338449,GALAXY,,0,7.862883,24.87016,0,0,2.237958E+09
782,299605950799570944,145.70654,0.45938881,GALAXY,,4.728148,6.229174,3.155617,6.318653,98.16421,1.729766
783,299606225207715840,145.72685,0.49792299,GALAXY,,0,0,0,0,0,0
784,299606225677477888,145.6607,0.6338449,GALAXY,,0,6.155806,8.706763,0,0,0
785,299606500085622784,145.79648,0.56150148,GALAXY,STARFORMING,169.4279,42.8554,28.16864,44.77205,30.776,7.307509
786,299606500555384832,145.64564,0.50959376,GALAXY,,53.05276,17.26594,1.087491,7.595903,5.131335,0.3237588
