Row#;specobjid;ra;dec;class;subclass;h_alpha_flux;h_beta_flux;oiii_5007_flux;nii_6584_flux;sii_6731_flux;oi_6300_flux
971;299633438590265000.0;14658351.0;12272745.0;GALAXY;;1113204.0;3486925.0;5184437.0;1182928.0;1171405.0;4428062.0
972;299633712998410000.0;14647466.0;.906;GALAXY;;5904657.0;1187698.0;1777637.0;-2375462.0;107175.0;3636103.0
973;299633713468172000.0;14652027.0;.872;GALAXY;;5350932.0;1764225.0;9563992.0;5838013.0;-3504159.0;-2963467.0
974;299633987876317000.0;14652027.0;.872;GALAXY;;1510206.0;5089284.0;5579836.0;-2079002.0;5449669.0;2400986.0
975;299633988346079000.0;14638552.0;11469976.0;GALAXY;STARBURST;5568371.0;1409157.0;3511635.0;84946.0;457187.0;1261912.0
976;299634262754224000.0;14639189.0;.978;GALAXY;STARFORMING;790673.0;1755916.0;2874591.0;1315464.0;9129597.0;3014116.0
977;299634263223986000.0;14639189.0;.978;GALAXY;STARFORMING;7701791.0;1591509.0;2632885.0;1435056.0;1384345.0;2857065.0
978;299634537632131000.0;14658351.0;12272745.0;GALAXY;;7091702.0;-.324;1625552.0;1126329.0;5248523.0;-4717007.0
979;299634538101893000.0;14637291.0;1070121.0;GALAXY;;5225406.0;1144641.0;1609192.0;4060973.0;1842459.0;9691984.0
980;299634812510038000.0;14635326.0;10603733.0;GALAXY;STARFORMING;2570823.0;4333121.0;2444448.0;9028057.0;344282.0;110633.0
981;299634812979800000.0;14658426.0;10811228.0;GALAXY;;.0;2157976.0;4728817.0;.0;.0;.0
982;299635087857707000.0;14647868.0;.999;STAR;CV;.0;.0;.0;.0;.0;.0
983;299635362265851000.0;14641413.0;.769;QSO;;6864607.0;-.008;6912469.0;-.231;16374.760;4614482.0
984;299635362735613000.0;14651129.0;.813;GALAXY;;1319669.0;5646118.0;1053993.0;1391995.0;2783217.0;-4365619.0
985;299635637143758000.0;14653089.0;.782;GALAXY;STARFORMING;1643208.0;4130506.0;86496.0;8068009.0;1869137.0;4119399.0
986;299635637613520000.0;14653089.0;.782;GALAXY;STARFORMING;155941.0;5022465.0;7361599.0;1130263.0;1945952.0;1639223.0
987;299635912021665000.0;14637977.0;.927;GALAXY;;2346278.0;5054839.0;8517661.0;7842273.0;1978341.0;6040281.0
988;299635912491427000.0;14637977.0;.927;GALAXY;STARFORMING;2121318.0;5024716.0;1139995.0;8028949.0;2068296.0;7055264.0
989;299636186899572000.0;14643634.0;10591926.0;GALAXY;;6314455.0;6735342.0;1319079.0;1749172.0;3684685.0;8852921.0
990;299636187369334000.0;14647466.0;.906;GALAXY;;4609484.0;1298789.0;3358365.0;-.029;1163741.0;.259
991;299636461777479000.0;14634873.0;.906;QSO;;.0;1048494.0;-2396747.0;.0;.0;.0
992;299636462247241000.0;14636651.0;.851;GALAXY;;7409858.0;178656.0;7114043.0;4446295.0;1487356.0;7139791.0
993;299636736655386000.0;14658426.0;10811228.0;GALAXY;;2407225.0;1959756.0;4969318.0;1799896.0;2061798.0;4722179.0
994;299636737125148000.0;14634873.0;.906;GALAXY;;.0;5200271.0;.247;.0;.0;524975.0
995;299637011533293000.0;14649713.0;.742;STAR;F2;-9807077.0;-7021227.0;-.673;-1089809.0;.395;1521468.0
996;299637012003055000.0;14643634.0;10591926.0;GALAXY;;2260443.0;8197126.0;1567022.0;9548879.0;1113872.0;1307214.0
997;299637286411200000.0;14651129.0;.813;GALAXY;;-1072985.0;-.008;1883384.0;7218.0;-.823;-.510
998;299637286880962000.0;14641413.0;.769;QSO;;5691566.0;175744.0;1375724.0;2069382.0;-3213005.0;-3004421.0
999;299637561289107000.0;14636651.0;.851;GALAXY;;7983372.0;1469218.0;8817845.0;4074775.0;1676075.0;4818469.0
1000;299637561758869000.0;14649713.0;.742;STAR;F5;-984372.0;-9218835.0;87645.0;-1270605.0;4069916.0;5675306.0
1001;299637836167014000.0;1466088.0;.805;GALAXY;;1120162.0;242643.0;5492604.0;323959.0;1239536.0;.812
1002;299637836636776000.0;1465912.0;.897;GALAXY;STARFORMING;1845013.0;5113116.0;3691146.0;4408714.0;3218094.0;2324072.0
1003;299638111044921000.0;14681401.0;.119;QSO;BROADLINE;2444241.0;612346.0;2097528.0;2538947.0;-1473931.0;-3715442.0
1004;299638111514683000.0;14683636.0;.512;GALAXY;STARFORMING;1343766.0;3302384.0;8295544.0;4731856.0;1793678.0;2233722.0
1005;299638385922828000.0;14667518.0;.278;GALAXY;;1500497.0;7599727.0;1064098.0;-296331.0;-1577553.0;-2880771.0
