Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
10488,318667639654213632,176.10512,-1.0634334,GALAXY,,0,-0.8841624,0.8881824,0,0,-1.438749
10489,318667914532120576,176.1563,-1.1442274,GALAXY,,10.97291,4.12473,9.186878,11.76368,5.753073,0.9986361
10490,318668189410027520,176.17062,-0.95350947,GALAXY,,19.43925,6.892997,13.9538,21.73464,-0.7874986,0.0640218
10491,318668464287934464,176.47544,-0.65204223,GALAXY,,0.5142748,0.6802571,0.02908797,8.026703,0,-2.746362
10492,318669288921655296,176.6795,-0.67836515,GALAXY,STARFORMING,537.6589,149.4593,183.2497,113.568,90.99203,15.71691
10493,318669838677469184,176.54528,-0.55568718,GALAXY,BROADLINE,32.02349,-1.678553,0.7243345,2.459298,2.126818,0
10494,318670113555376128,176.53216,-0.45802681,GALAXY,STARBURST,590.314,173.3197,553.2032,45.61005,45.05534,8.101634
10495,318670388433283072,176.59324,-0.74409094,GALAXY,,99.27579,18.88235,6.839905,31.97276,9.15011,-1.406975
10496,318670663311190016,176.65516,-0.53203016,GALAXY,STARFORMING,64.36071,19.9399,12.26904,16.16979,13.19557,2.72257
10497,318670938189096960,176.57145,-0.75766759,GALAXY,,7.88917,1.786926,5.137345,22.1145,1.021258,4.840397
