fnu_12,fnu_60,rat_25_60,ra,dec
0.25,0.40,0.9750,128.8612,23.5190
0.42,0.56,0.6250,128.8744,23.6753
0.25,2.22,0.1306,128.9475,28.7534
0.25,0.41,0.6098,128.7459,-24.1224
0.25,0.60,0.4167,128.8627,-2.0565
0.25,0.82,0.3049,128.9183,-4.0882
0.25,0.43,0.5814,128.9496,1.7237
0.25,0.68,0.5000,129.0685,28.0599
0.25,1.19,0.2101,128.8940,-32.1436
0.33,0.92,0.2717,129.0799,-20.2858
1.09,24.08,0.2703,129.0645,-26.4103
0.25,0.79,0.3924,129.3857,28.7051
1.74,0.60,0.5000,129.6765,61.4381
0.25,1.52,0.1645,129.4901,39.8962
0.25,1.73,0.1445,129.3278,-20.9401
0.25,0.97,0.2887,129.4753,12.7790
0.25,0.68,0.3676,129.4084,-6.7175
0.25,0.76,0.3289,129.4816,-2.4633
0.29,24.33,0.0715,129.6000,25.7542
0.42,0.71,0.3803,129.6383,30.7986
0.25,0.74,0.3919,129.6019,19.5895
0.26,0.54,1.2222,129.5232,-9.8199
0.25,0.64,0.5312,129.7288,26.1565
0.35,0.50,0.5800,129.7356,26.1804
0.29,4.37,0.0801,129.3532,-55.1234
0.25,0.44,0.5682,130.0619,56.0465
0.25,4.38,0.1005,129.6892,-14.6800
0.25,0.93,0.3118,129.7839,4.5670
1.05,0.40,0.8250,129.7326,-14.6735
0.26,0.65,0.4000,129.8257,-0.6129
0.42,0.50,0.5000,129.7757,-14.7401
0.39,3.18,0.0881,129.9552,23.1445
0.35,0.46,1.8261,130.0118,29.8175
0.39,0.47,0.5957,130.1312,2.1876
0.25,0.81,0.3210,130.1768,-4.1196
0.25,1.35,0.1333,129.6969,-67.9268
0.25,0.48,0.5208,130.4209,40.6519
0.25,3.36,0.1488,129.8944,-63.1296
0.28,1.78,0.1404,130.2347,-23.9135
0.25,0.84,0.2976,130.2058,-32.0441
0.25,1.53,0.2026,130.3887,4.9794
0.28,0.55,0.6364,130.7006,29.3974
0.25,2.90,0.1379,131.1832,69.0911
0.44,0.58,0.5690,130.6862,14.2723
0.25,0.60,0.4167,161.2007,38.1818
0.25,0.98,0.3469,161.1185,-11.2079
0.25,5.18,0.1776,161.3383,55.9614
0.25,0.87,0.4023,161.2881,22.0780
0.25,0.76,0.3289,161.3491,29.2165
0.28,0.52,0.5769,161.4036,17.8203
0.25,1.70,0.2059,161.4597,27.6183
0.30,0.57,0.4386,156.4426,66.9488
0.31,10.96,0.1077,156.1329,-23.5538
0.25,1.28,0.1953,157.0790,79.8221
0.30,0.86,0.4070,156.4825,12.7071
0.25,0.84,0.2976,156.7166,41.8873
0.25,0.57,0.6491,156.6680,3.8642
0.25,2.10,0.1238,156.7671,-36.2303
0.25,0.64,0.3906,156.7255,-49.1464
0.25,1.08,0.3889,156.9280,-40.0023
0.25,1.70,0.1529,156.9350,-40.4340
0.44,0.89,0.2809,157.1058,-50.6919
0.48,2.34,0.2393,157.1781,-31.0383
0.25,2.27,0.1101,157.2515,-40.0832
0.30,2.36,0.1059,157.2493,-44.6552
0.27,0.45,0.5556,157.4164,-17.0798
0.31,3.74,0.1096,157.3840,-39.8412
0.28,0.64,0.4688,157.8781,24.8664
1.35,0.40,1.1000,157.9429,46.6661
0.28,0.69,0.3623,157.8702,-32.7121
0.34,3.50,0.1629,157.8469,-42.0616
0.25,1.01,0.2475,157.7397,-74.7367
0.52,1.31,0.2061,158.0848,-24.0367
0.74,0.73,0.4932,158.3693,7.1335
1.00,2.18,0.1743,158.3869,11.8715
0.25,1.59,0.5220,158.6950,21.6518
0.26,0.89,0.2809,158.7652,46.5615
0.59,0.68,0.3676,158.7413,-28.0740
0.27,0.73,0.3425,158.8254,-17.2774
0.55,6.07,0.1104,159.0664,37.3234
0.25,1.42,0.5915,158.9143,-41.1954
0.38,1.36,0.2206,159.2325,-26.1923
0.25,0.52,0.6154,159.3969,43.6490
0.26,0.63,0.3968,159.3941,-41.4654
0.26,0.87,0.4138,159.4560,-27.1219
0.28,1.32,0.1970,159.6388,-27.7380
0.46,0.55,1.2727,159.6629,-28.5670
0.80,0.78,0.7436,159.8589,-23.7542
0.25,0.85,0.2941,159.8664,-26.9745
0.25,1.44,0.1736,160.0714,-27.7777
0.25,0.79,0.3165,159.5102,-81.0953
0.42,0.56,0.4464,160.2335,-48.4316
0.25,0.40,0.6250,160.4307,40.0411
0.39,0.48,0.5833,160.6539,-23.9361
0.39,0.59,0.5254,160.7776,20.4210
0.25,0.51,0.4902,161.2480,76.6812
0.34,0.36,0.6944,161.2497,76.1975
0.25,0.40,0.6250,160.9516,-22.8133
0.25,0.76,0.3289,161.1566,56.3703
1.34,0.39,0.6410,161.4794,74.6205
2.25,0.40,1.3250,161.4657,72.2882
0.29,0.44,0.5682,161.9813,76.8453
0.44,5.90,0.1814,161.6406,13.7524
0.39,1.69,0.1657,161.8283,-24.4391
0.27,0.82,0.5976,161.9996,43.1878
0.25,0.70,0.3286,162.2179,50.0361
0.25,2.15,0.1302,318.3057,-58.4291
0.25,0.61,0.4426,318.0422,-1.4771
0.38,0.49,0.5918,318.0754,-1.3214
0.36,0.89,0.4045,318.0396,11.6580
0.25,0.74,0.3378,318.1059,11.4090
0.25,0.40,0.6500,318.2173,1.6571
0.25,0.45,0.8222,318.3329,-0.1606
0.25,0.77,0.3247,318.3199,8.8650
0.41,0.56,0.4464,318.5783,-48.8601
0.25,0.84,0.2976,318.8430,-68.2885
0.25,0.86,0.3605,318.5444,-26.0600
0.25,0.88,0.3068,318.4375,13.5729
0.37,0.51,0.4902,318.9798,-59.2286
0.25,1.22,0.2131,319.0658,-64.4640
0.26,0.68,0.4412,318.7806,-22.2931
0.45,0.56,0.4464,318.8276,-33.2263
0.25,0.89,0.2809,318.6872,10.8723
0.25,0.68,0.3676,318.7303,2.8338
0.25,1.06,0.2358,318.7900,7.1382
0.41,0.43,0.5814,318.9299,15.6748
0.25,3.26,0.0951,319.4293,-58.8705
0.25,0.91,0.3516,319.2672,-33.9874
0.25,0.57,0.4386,319.5890,-63.7582
0.25,1.72,0.1453,319.3899,-41.2499
0.25,1.02,0.2451,319.4529,-48.3911
0.25,0.77,0.3247,319.2810,-6.7270
0.25,0.81,0.3086,319.2196,13.2687
0.25,1.80,0.1389,319.2223,24.2057
0.32,0.71,0.3944,319.4850,-22.8372
0.25,0.60,0.4167,319.7541,-48.5627
0.28,0.92,0.2717,319.9413,-52.2402
0.25,0.82,0.3049,319.7110,2.2622
0.25,0.45,0.5556,319.6318,26.4418
0.61,0.40,0.6750,319.6569,22.7271
1.21,0.40,0.7500,319.7379,5.8503
0.64,0.68,0.3676,320.2224,-68.0229
0.27,0.42,1.0476,319.9497,-24.2949
0.47,0.54,0.4630,320.0459,-39.7650
0.25,1.36,0.1838,319.8609,14.0574
1.31,1.16,0.2155,355.6984,27.3016
0.25,0.67,0.3731,355.8352,-72.5657
0.25,1.04,0.2788,355.7775,18.6581
0.25,2.16,0.3148,355.8011,4.5431
0.25,0.67,0.3731,355.8111,49.9789
1.38,2.02,0.1832,355.9788,26.0759
0.26,4.45,0.1281,356.0081,0.5165
0.61,0.47,0.5319,356.0204,29.1217
0.25,0.71,0.5775,356.0376,-6.1721
0.25,1.01,0.4752,356.0538,0.8037
0.25,3.03,0.1452,356.0685,10.7685
0.25,0.97,0.4330,356.0821,9.9326
0.25,0.56,0.5714,356.1121,5.6632
0.25,0.93,0.2688,356.2820,19.8991
0.25,1.83,0.1202,356.4377,-63.3027
0.25,1.30,0.2000,356.5426,-75.2774
0.31,3.19,0.1254,356.4826,12.0628
0.29,0.62,0.4032,356.5745,-25.7869
0.25,0.61,0.6066,356.5567,33.3719
0.25,1.24,0.4919,356.6591,3.8017
0.39,0.97,0.3299,356.7563,-44.7623
0.29,4.83,0.0952,356.7581,29.4734
0.25,4.20,0.2905,356.7888,15.5962
0.25,1.03,0.2427,356.8382,-63.7734
0.28,0.37,0.6757,356.8144,32.7834
0.29,0.66,1.2424,356.8401,1.9362
0.25,0.60,0.4167,356.9413,-57.0778
0.25,0.79,0.5570,356.9314,27.4284
0.61,0.40,0.6250,356.9328,51.2923
0.25,1.80,0.3500,357.1722,2.2391
0.25,1.11,0.3514,357.1871,4.1727
1.43,0.37,0.6757,357.2497,-68.2322
0.25,0.60,0.4333,357.2206,-19.3917
0.25,0.94,0.3723,357.2530,-7.0567
0.29,0.54,0.4630,357.2566,26.7905
0.29,0.66,0.4394,357.3043,-16.5956
0.38,2.43,0.1358,357.4164,29.9327
0.25,0.87,0.2874,357.5683,36.6666
0.46,0.57,0.4386,357.6356,28.9944
0.46,0.34,0.7353,357.7551,46.7250
0.41,4.77,0.1237,357.7653,20.1498
0.25,0.87,0.8046,357.7817,1.0573
1.15,0.40,0.9750,357.7882,27.1600
0.68,18.15,0.0948,357.8534,20.1106
0.52,16.98,0.1431,357.8566,20.5837
0.25,0.95,0.3158,358.0568,-25.4026
0.25,0.42,1.7381,358.0533,8.3943
0.25,1.84,0.1848,358.1031,28.7731
0.38,0.61,0.4098,358.1285,-28.3404
1.09,0.56,0.7857,358.3702,8.1213
0.25,0.77,0.3896,358.4736,7.9716
0.25,0.43,1.5349,358.6056,-1.9334
0.25,1.18,0.2119,358.8391,21.5877
0.42,0.42,0.5952,161.5361,49.5430
0.25,0.95,0.3158,161.4695,16.9302
0.25,4.06,0.0517,161.6568,63.2209
0.25,1.76,0.1705,161.6754,25.9318
0.37,9.16,0.0611,161.6920,11.8196
0.31,0.94,0.3511,161.7540,26.5450
0.25,0.51,0.4902,161.6647,-36.3553
0.39,3.61,0.0997,161.7726,17.2719
0.27,2.22,0.1306,161.6785,-40.0150
0.25,0.77,0.3247,162.1210,72.4272
0.25,1.95,0.1897,161.8033,-28.9210
0.25,1.74,0.1724,161.9646,26.2528
0.25,1.19,0.2101,162.0369,48.3305
0.25,1.48,0.1689,162.1665,66.3587
0.25,0.62,0.5484,162.0510,28.6015
0.25,0.67,0.3731,162.0092,-20.8477
0.25,1.40,0.1786,162.1030,34.7107
0.26,0.92,0.2717,162.0186,-31.5352
0.26,0.47,0.5745,162.1165,26.5834
0.25,2.22,0.2613,162.1854,26.0533
0.26,0.65,0.3846,162.1979,26.7688
0.42,0.93,0.2688,162.0594,-53.3059
0.25,0.74,0.4459,162.2327,14.2198
0.37,1.18,0.2627,162.1828,-45.4197
0.25,0.93,0.3333,162.3298,13.2319
0.72,2.86,0.1748,162.3168,-19.6357
0.34,0.91,0.2747,162.3053,-31.3040
0.25,0.66,0.3788,162.6666,65.7269
0.25,0.75,0.3333,162.5410,35.0355
0.25,1.80,0.1389,162.8731,76.9209
0.25,2.52,0.1230,162.5894,41.4630
0.28,2.31,0.1126,162.4993,-14.7490
0.25,0.68,0.3676,162.9569,77.5671
0.25,0.71,0.3662,162.6203,26.3432
0.25,1.02,0.2843,162.6116,15.6346
0.43,0.58,0.4310,162.9069,68.6907
0.25,0.57,0.7018,162.7897,31.6116
0.34,4.74,0.1203,162.7431,-2.1501
0.25,0.76,0.4079,162.7929,20.1704
0.43,1.86,0.1559,162.7432,-23.6596
0.25,1.03,0.2427,162.8348,32.7665
